Language: 2, Defect: 3, Recognized Text: оч
Language: 2, Defect: 3, Recognized Text: мелочь
Language: 2, Defect: 3, Recognized Text: лист
Language: 2, Defect: 3, Recognized Text: капля
Language: 2, Defect: 3, Recognized Text: 
Language: 2, Defect: 3, Recognized Text: мелочь
Language: 2, Defect: 3, Recognized Text: лист
Language: 2, Defect: 3, Recognized Text: капля
Language: 2, Defect: 3, Recognized Text: 
Language: 2, Defect: 3, Recognized Text: 
Language: 2, Defect: 1, Recognized Text: трактор
Language: 2, Defect: 1, Recognized Text: раритет
Language: 2, Defect: 1, Recognized Text: рулет
Language: 2, Defect: 1, Recognized Text: 
Language: 2, Defect: 1, Recognized Text: 

Language: 1, Defect: 1, Recognized Text: раушан
Language: 1, Defect: 1, Recognized Text: картоп
Language: 1, Defect: 1, Recognized Text: арпа
Тіл: 1, Мүкістік: 1, Recognized Text: раушан
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: жарқын
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: жарқын
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: жарқын
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: жарқын
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: жарқын
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: жарқын
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 2, Мүкістік/Дефект: 2, Сөз/Слово: саша
Тіл/Язык: 2, Мүкістік/Дефект: 2, Сөз/Слово: шершавой
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шипа
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: шалқар
Тіл/Язык: 1, Мүкістік/Дефект: 2, Сөз/Слово: жарқын
Тіл/Язык: 2, Мүкістік/Дефект: 1, Сөз/Слово: трактор
Тіл/Язык: 2, Мүкістік/Дефект: 1, Сөз/Слово: раритет
Тіл/Язык: 1, Мүкістік/Дефект: 1, Сөз/Слово: раушан
Тіл/Язык: 1, Мүкістік/Дефект: 1, Сөз/Слово: картоп
